,opp,games,rush_att,rush_yds,rush_td,rec_tgt,rec,rec_yds,rec_td,DK_pt,DK_ptg
0,NYJ,8,203,962,14,79,64,615,2,324.7,40.6
1,DET,8,204,880,10,36,30,274,6,249.4,31.2
7,SFO,8,207,842,5,68,58,561,2,248.3,31
6,CIN,9,170,700,8,90,70,553,2,263.3,29.3
3,PHI,9,222,937,8,74,65,462,1,263.9,29.3
5,LAR,8,214,1040,11,37,27,168,1,226.8,28.4
4,NYG,9,213,984,5,68,57,489,2,255.3,28.4
9,ATL,8,187,737,7,66,52,400,2,220.7,27.6
12,BAL,8,153,644,8,51,42,468,1,218.2,27.3
8,MIA,9,199,846,8,66,49,350,2,233.6,26
18,MIN,8,187,853,6,48,39,271,2,207.4,25.9
16,SEA,8,190,721,8,51,41,301,2,206.2,25.8
2,HOU,9,222,1074,9,44,33,235,2,230.9,25.7
15,LAC,8,181,827,6,55,40,260,3,204.7,25.6
17,NWE,9,200,852,2,78,61,593,1,222.5,24.7
11,KAN,9,175,770,5,66,54,495,1,220.7,24.5
13,LVR,9,178,719,6,64,53,415,2,220.4,24.5
20,WAS,8,163,579,5,51,35,274,7,190.3,23.8
14,GNB,9,169,699,7,61,50,315,3,211.4,23.5
21,JAX,8,182,640,8,47,33,263,1,186.3,23.3
26,DAL,8,148,670,4,58,48,312,1,183.2,22.9
10,CHI,9,209,971,6,48,36,285,1,205.6,22.8
28,TAM,8,121,447,2,67,58,393,4,180,22.5
19,DEN,9,179,760,5,56,37,340,2,197,21.9
23,TEN,9,154,694,6,56,44,329,1,191.3,21.3
25,ARI,9,166,778,2,69,57,407,0,189.5,21.1
22,CLE,9,172,631,5,52,41,318,4,188.9,21
24,CAR,9,193,845,4,43,33,219,1,175.4,19.5
29,NOR,8,151,425,4,49,37,378,2,156.3,19.5
27,IND,9,190,740,2,47,35,341,2,172.1,19.1
30,PIT,8,165,737,2,40,33,296,0,150.3,18.8
31,BUF,8,138,518,3,41,26,240,1,127.8,16
