,opp,games,rec_tgt,rec,rec_yds,rec_td,DK_pt,DK_ptg
0,TEN,9,236,153,1962,12,431.7,48
4,WAS,8,178,122,1576,11,350.1,43.8
2,MIA,9,209,135,1735,12,393.2,43.7
1,IND,9,184,124,1586,15,388,43.1
7,MIN,8,173,108,1501,10,340.4,42.6
5,NOR,8,176,113,1592,10,341.1,42.6
17,JAX,8,166,124,1539,6,334.6,41.8
9,DAL,8,166,102,1522,9,329.4,41.2
3,CHI,9,170,114,1673,12,368.8,41
6,NYG,9,193,126,1420,10,350.6,39
15,PIT,8,167,104,1340,10,309.9,38.7
20,TAM,8,176,109,1316,8,305.4,38.2
8,HOU,9,170,112,1559,8,335.1,37.2
23,SFO,8,182,107,1320,7,296.8,37.1
13,CIN,9,186,128,1540,7,332.7,37
19,LVR,9,192,130,1471,5,328.4,36.5
18,ATL,8,150,97,1173,11,291.3,36.4
11,CLE,9,186,113,1519,9,327.9,36.4
21,DET,8,132,90,1379,7,289.1,36.1
10,ARI,9,184,108,1299,12,319.8,35.5
25,SEA,8,145,98,1215,7,279.6,35
12,DEN,9,187,102,1449,9,314.5,34.9
16,KAN,9,159,98,1308,9,313.6,34.8
14,NWE,9,179,104,1380,9,310.5,34.5
24,BAL,8,158,92,1310,7,270.6,33.8
22,GNB,9,174,103,1273,8,288.5,32.1
27,NYJ,8,141,91,1193,6,257,32.1
26,CAR,9,148,101,1186,8,275,30.6
28,PHI,9,142,99,1185,7,269.9,30
29,LAC,8,144,93,971,4,227.4,28.4
30,LAR,8,132,87,946,4,212.8,26.6
31,BUF,8,168,99,928,2,205.8,25.7
