,player,pos,team,opp_home,opp,game,week,day,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,fmb,team_win,team_score,opp_score
0,Derrick Henry,RB,TEN,1.0,SEA,2,2,Sun,35,182,5.2,3,6,6,55,9.17,0,100.00%,9.17,50.7,0,0,0,0,0,0,1,33,30
1,Aaron Jones,RB,GNB,0.0,DET,2,2,Mon,17,67,3.94,1,6,6,48,8.0,3,100.00%,8.0,41.5,0,0,0,0,0,0,1,35,17
2,James Conner,RB,ARI,1.0,SFO,9,9,Sun,21,96,4.57,2,5,5,77,15.4,1,100.00%,15.4,40.3,0,0,0,0,0,1,1,31,17
3,Derrick Henry,RB,TEN,0.0,BUF,6,6,Mon,20,143,7.15,3,3,2,13,6.5,0,66.70%,4.33,38.6,0,0,0,0,0,0,1,34,31
4,Jonathan Taylor,RB,IND,0.0,NYJ,9,9,Thu,19,172,9.05,2,2,2,28,14.0,0,100.00%,14.0,37.0,0,0,0,0,0,1,1,45,30
5,Alvin Kamara,RB,NOR,1.0,SEA,6,7,Mon,20,51,2.55,0,11,10,128,12.8,1,90.90%,11.64,36.9,0,0,0,0,0,0,1,13,10
6,Jonathan Taylor,RB,IND,1.0,BAL,5,5,Mon,15,53,3.53,1,4,3,116,38.67,1,75.00%,29.0,34.9,0,0,0,0,0,0,0,25,31
7,Cordarrelle Patterson,RB,ATL,0.0,WAS,4,4,Sun,6,34,5.67,0,6,5,82,16.4,3,83.30%,13.67,34.6,0,0,0,0,0,0,0,30,34
8,Derrick Henry,RB,TEN,1.0,JAX,5,5,Sun,29,130,4.48,3,0,0,0,0.0,0,0.00%,0.0,34.0,0,0,0,0,0,0,1,37,19
9,Austin Ekeler,RB,LAC,0.0,CLE,5,5,Sun,17,66,3.88,2,5,5,53,10.6,1,100.00%,10.6,33.9,0,0,0,0,0,2,1,47,42
10,Nick Chubb,RB,CLE,1.0,CIN,9,9,Sun,14,137,9.79,2,2,2,26,13.0,0,100.00%,13.0,33.3,0,0,0,0,0,1,1,41,16
11,Austin Ekeler,RB,LAC,0.0,LVR,4,4,Mon,15,117,7.8,1,5,3,28,9.33,1,60.00%,5.6,32.5,0,0,0,0,0,0,1,28,14
12,Michael Carter,RB,NYJ,0.0,CIN,7,8,Sun,15,77,5.13,1,14,9,95,10.56,0,64.30%,6.79,32.2,0,0,0,0,0,0,1,34,31
13,Myles Gaskin,RB,MIA,1.0,TAM,5,5,Sun,5,25,5.0,0,10,10,74,7.4,2,100.00%,7.4,31.9,0,0,0,0,0,0,0,17,45
14,Jonathan Taylor,RB,IND,0.0,HOU,6,6,Sun,14,145,10.36,2,2,1,13,13.0,0,50.00%,6.5,31.8,0,0,0,0,0,0,1,31,3
15,Najee Harris,RB,PIT,0.0,CIN,3,3,Sun,14,40,2.86,0,19,14,102,7.29,0,73.70%,5.37,31.2,0,0,0,0,0,0,0,10,24
16,Leonard Fournette,RB,TAM,1.0,PHI,6,6,Thu,22,81,3.68,2,6,6,46,7.67,0,100.00%,7.67,30.7,0,0,0,0,0,0,1,28,22
17,Alexander Mattison,RB,MIN,0.0,DET,5,5,Sun,25,113,4.52,0,7,7,40,5.71,1,100.00%,5.71,30.3,0,0,0,0,0,1,1,19,17
18,Saquon Barkley,RB,NYG,1.0,NOR,4,4,Sun,13,52,4.0,1,6,5,74,14.8,1,83.30%,12.33,29.6,0,0,0,0,0,1,1,27,21
19,Alvin Kamara,RB,NOR,1.0,WAS,5,5,Sun,16,71,4.44,1,8,5,51,10.2,1,62.50%,6.38,29.2,0,0,0,0,0,0,1,33,22
