,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
0,Mark Andrews,TE,BAL,0.0,IND,5,5,Mon,13,11,147,13.36,2,84.60%,11.31,44.7,0,0,0,0,0,0,0,0,0,1,31,25
1,David Njoku,TE,CLE,1.0,LAC,5,5,Sun,7,7,149,21.29,1,100.00%,21.29,30.9,0,0,0,0,0,0,0,0,0,0,42,47
2,Kyle Pitts,TE,ATL,0.0,NYJ,5,5,Sun,10,9,119,13.22,1,90.00%,11.9,29.9,0,0,0,0,0,0,0,0,0,1,27,20
3,Darren Waller,TE,LVR,0.0,BAL,1,1,Mon,19,10,105,10.5,1,52.60%,5.53,29.5,0,0,0,0,0,0,0,0,0,1,33,27
4,Rob Gronkowski,TE,TAM,0.0,DAL,1,1,Thu,8,8,90,11.25,2,100.00%,11.25,29.0,0,0,0,0,0,0,0,0,0,1,31,29
5,Travis Kelce,TE,KAN,1.0,BAL,2,2,Sun,8,7,109,15.57,1,87.50%,13.63,26.9,0,0,0,0,0,0,0,0,0,0,35,36
6,C.J. Uzomah,TE,CIN,0.0,JAX,4,4,Thu,6,5,95,19.0,2,83.30%,15.83,26.5,0,0,0,0,0,0,0,0,0,1,24,21
7,Kyle Pitts,TE,ATL,1.0,MIA,6,7,Sun,8,7,163,23.29,0,87.50%,20.38,26.3,0,0,0,0,0,0,0,0,0,1,30,28
8,Dalton Schultz,TE,DAL,0.0,PHI,3,3,Mon,7,6,80,13.33,2,85.70%,11.43,26.0,0,0,0,0,0,0,0,0,0,1,41,21
9,T.J. Hockenson,TE,DET,0.0,SFO,1,1,Sun,11,8,97,12.13,1,72.70%,8.82,25.7,0,0,0,0,0,0,0,0,0,0,33,41
10,Travis Kelce,TE,KAN,0.0,CLE,1,1,Sun,7,6,76,12.67,2,85.70%,10.86,25.6,0,0,0,0,0,0,0,0,0,1,33,29
11,Noah Fant,TE,DEN,0.0,LVR,6,6,Sun,11,9,97,10.78,1,81.80%,8.82,24.7,0,0,0,0,0,0,0,0,0,0,24,34
12,George Kittle,TE,SFO,0.0,ARI,8,9,Sun,8,6,101,16.83,1,75.00%,12.63,24.1,0,0,0,0,0,0,0,0,1,0,17,31
13,C.J. Uzomah,TE,CIN,1.0,BAL,7,7,Sun,3,3,91,30.33,2,100.00%,30.33,24.1,0,0,0,0,0,0,0,0,0,1,41,17
