,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
0,Tyreek Hill,WR,KAN,1.0,PHI,4,4,Sun,12,11,186,16.91,3,91.70%,15.5,50.6,0,0,0,0,0,0,0,0,0,1,42,30
1,Amari Cooper,WR,DAL,1.0,TAM,1,1,Thu,17,13,139,10.69,2,76.50%,8.18,41.9,0,0,0,0,0,0,0,0,0,0,29,31
2,Davante Adams,WR,GNB,1.0,CIN,5,5,Sun,16,11,206,18.73,1,68.80%,12.88,40.6,0,0,0,0,0,0,0,0,0,1,25,22
3,Cooper Kupp,WR,LAR,0.0,DET,7,7,Sun,13,10,156,15.6,2,76.90%,12.0,40.6,0,0,0,0,0,0,0,0,0,1,28,19
4,Tyreek Hill,WR,KAN,0.0,CLE,1,1,Sun,15,11,197,17.91,1,73.30%,13.13,40.1,0,0,0,0,0,1,4,0,0,1,33,29
5,Cooper Kupp,WR,LAR,1.0,IND,2,2,Sun,11,9,163,18.11,2,81.80%,14.82,39.8,0,0,0,0,0,1,-5,0,0,1,27,24
6,Mike Williams,WR,LAC,0.0,CLE,5,5,Sun,16,8,165,20.63,2,50.00%,10.31,39.5,0,0,0,0,0,0,0,0,0,1,47,42
7,CeeDee Lamb,WR,DAL,1.0,NWE,6,6,Sun,11,9,149,16.56,2,81.80%,13.55,39.1,0,0,0,0,0,1,2,0,0,1,35,29
8,Deebo Samuel,WR,SFO,0.0,SEA,4,4,Sun,13,8,156,19.5,2,61.50%,12.0,38.7,0,0,0,0,0,1,1,0,0,0,21,28
9,Ja'Marr Chase,WR,CIN,1.0,BAL,7,7,Sun,10,8,201,25.13,1,80.00%,20.1,37.1,0,0,0,0,0,0,0,0,1,1,41,17
10,Cooper Kupp,WR,LAR,1.0,NYG,6,6,Sun,12,9,130,14.44,2,75.00%,10.83,37.0,0,0,0,0,0,0,0,0,0,1,38,11
11,Marquise Brown,WR,BAL,0.0,IND,5,5,Mon,10,9,125,13.89,2,90.00%,12.5,36.5,0,0,0,0,0,0,0,0,0,1,31,25
12,Mike Williams,WR,LAC,1.0,KAN,3,3,Sun,9,7,122,17.43,2,77.80%,13.56,36.2,0,0,0,0,0,0,0,0,0,1,30,24
13,Deebo Samuel,WR,SFO,1.0,DET,1,1,Sun,12,9,189,21.0,1,75.00%,15.75,35.9,0,0,0,0,0,0,0,0,1,1,41,33
