,team,opp_home,opp,week,slot,ot,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,sk,sk_yds,pass_rtg,rush_att,rush_yds,rush_yda,rush_td,tot_yds,plays,yds_play,to,off_time,first,rush_first,pass_first,Pen,third_att,third_cmp,third_pct,fourth_att,fourth_cmp,fourth_pct,off_result,off_score,opp_score,pass_pts,rush_pts
0,KAN,1.0,PHI,4,3,0.0,24,30,80.0,271,5,1,1,7,131.0,32,200,6.25,1,471,63,7.476190476,1.0,1852,31,12,16,3,10,9,0.9,0,0,0.0,1,42,30,29.84,26.0
1,NOR,0.0,GNB,1,4,0.0,15,21,71.4,151,5,0,0,0,131.2,39,171,4.38,0,322,60,5.366666667,0.0,2076,22,11,10,1,10,5,0.5,2,2,1.0,1,38,3,26.04,17.1
2,TAM,0.0,ATL,2,4,0.0,24,36,66.7,259,5,0,3,17,129.2,21,82,3.9,0,341,60,5.683333333,1.0,1589,21,5,14,2,12,4,0.33299999999999996,2,1,0.5,1,48,25,30.36,8.200000000000001
3,TAM,0.0,MIA,5,3,0.0,33,44,75.0,437,5,0,2,15,145.3,25,121,4.84,1,558,71,7.85915493,0.0,2227,33,5,26,2,11,8,0.727,0,0,0.0,1,45,17,37.480000000000004,18.1
4,ATL,0.0,WAS,4,3,0.0,25,42,59.5,275,4,0,1,8,111.5,28,99,3.54,0,374,71,5.267605634,0.0,1843,24,6,15,3,16,10,0.625,0,0,0.0,0,30,34,27.0,9.9
5,BUF,0.0,WAS,3,3,0.0,33,44,75.0,359,4,0,0,0,128.9,33,122,3.7,1,481,77,6.246753247,0.0,2137,29,8,20,1,15,9,0.6,1,0,0.0,1,43,21,30.36,18.200000000000003
6,CIN,1.0,DET,6,3,0.0,20,30,66.7,256,4,1,2,22,121.9,36,142,3.94,0,398,68,5.852941177,1.0,2152,20,8,10,2,15,8,0.5329999999999999,2,2,1.0,1,34,11,25.240000000000002,14.200000000000001
7,ARI,1.0,TEN,1,3,0.0,21,32,65.6,280,4,1,2,9,121.0,33,136,4.12,1,416,67,6.208955224,1.0,2001,22,7,13,2,13,7,0.5379999999999999,0,0,0.0,1,38,13,26.200000000000003,19.6
8,ARI,1.0,CLE,6,4,0.0,20,30,66.7,208,4,0,2,21,129.0,37,144,3.89,0,352,69,5.101449275,0.0,2079,24,8,11,5,15,8,0.5329999999999999,1,1,1.0,1,37,14,24.32,14.4
9,DAL,0.0,CAR,4,3,0.0,14,22,63.6,188,4,0,0,0,130.3,34,245,7.21,1,433,56,7.732142857,0.0,1584,24,12,10,2,9,3,0.33299999999999996,1,1,1.0,1,36,28,23.52,30.5
