,player,team,games,pass_cmp,pass_att,pass_yds,pass_td,pass_int,sk,rush_att,rush_yds,rush_td,DK_pt_avg,opp_home,opp,opp_rk,opp_DK_pt_avg,DK_rk
0,Tom Brady,TAM,8,28.9,42.9,331.3,3.1,0.6,1.5,1.8,4.9,0.1,27.6,1,WAS,32,26.8,1
1,Lamar Jackson,BAL,8,21.6,33.3,276.1,1.6,0.9,3.0,12.1,75.0,0.3,27.3,1,MIA,27,22.1,2
2,Josh Allen,BUF,8,26.1,39.9,279.5,2.1,0.6,1.5,7.1,39.9,0.4,26.4,1,NYJ,17,19.5,4
3,Matthew Stafford,LAR,9,24.3,35.7,307.9,2.6,0.7,1.3,2.4,4.1,0.0,24.2,1,SFO,29,22.1,3
4,Dak Prescott,DAL,7,25.3,36.4,292.1,2.6,0.7,1.4,3.4,12.3,0.0,23.6,0,ATL,29,21.4,6
5,Justin Herbert,LAC,8,26.4,39.9,293.8,2.3,0.8,1.8,3.5,11.9,0.3,24.8,0,MIN,16,20.7,5
6,Derek Carr,LVR,8,26.3,39.0,320.6,1.6,0.9,2.3,2.8,4.3,0.0,20.6,0,KAN,31,24.0,7
7,Kyler Murray,ARI,8,23.3,32.0,284.5,2.1,0.9,2.3,6.1,18.4,0.4,23.8,0,CAR,6,17.5,9
8,Carson Wentz,IND,9,21.1,33.3,244.2,1.9,0.3,1.9,3.2,13.4,0.1,19.2,0,JAX,23,21.4,11
9,Matt Ryan,ATL,8,26.1,37.6,269.6,1.9,0.8,1.8,2.1,4.6,0.1,20.2,1,DAL,26,22.6,8
10,Patrick Mahomes,KAN,9,26.2,40.2,281.6,2.2,1.1,1.9,4.1,25.2,0.1,23.0,1,LVR,8,18.1,10
11,Aaron Rodgers,GNB,8,21.6,32.3,236.8,2.1,0.4,2.1,2.3,5.9,0.3,20.1,0,SEA,14,19.9,12
12,Jalen Hurts,PHI,9,18.7,30.3,220.1,1.2,0.4,1.7,9.2,54.9,0.6,23.3,1,DEN,3,16.2,14
13,Russell Wilson,SEA,5,18.0,25.0,239.2,2.0,0.2,2.6,3.4,13.6,0.2,20.5,1,GNB,8,18.1,16
14,Taylor Heinicke,WAS,8,21.9,34.3,241.0,1.4,1.1,1.8,4.5,29.0,0.1,18.0,0,TAM,21,21.8,13
15,Kirk Cousins,MIN,8,25.8,37.8,267.5,2.0,0.3,1.3,1.5,9.5,0.1,21.3,1,LAC,5,16.2,19
16,Tua Tagovailoa,MIA,5,20.6,31.4,208.0,1.4,1.0,1.4,3.0,12.4,0.4,17.6,0,BAL,19,21.2,15
17,Teddy Bridgewater,DEN,9,22.2,31.7,240.3,1.6,0.6,2.9,2.3,7.7,0.1,17.5,0,PHI,15,19.6,20
18,Trevor Lawrence,JAX,8,22.0,37.0,227.6,1.0,1.1,1.6,4.0,17.0,0.3,15.6,1,IND,28,22.9,17
19,Ryan Tannehill,TEN,9,21.2,32.1,238.3,1.2,0.9,3.0,2.8,18.7,0.4,18.3,0,NOR,10,20.0,18
20,Trevor Siemian,NOR,2,20.5,35.0,204.0,1.5,0.0,1.0,1.0,1.0,0.0,13.8,1,TEN,25,21.3,22
21,Mac Jones,NWE,9,22.7,33.3,237.2,1.1,0.8,1.9,2.1,6.6,0.0,14.4,0,CLE,24,20.6,23
22,Ben Roethlisberger,PIT,8,24.5,37.4,248.3,1.3,0.5,2.3,1.4,0.8,0.0,14.5,0,DET,19,20.3,22
23,Jimmy Garoppolo,SFO,7,19.9,30.4,250.6,1.1,0.7,1.9,3.3,4.7,0.4,18.1,0,LAR,7,18.7,21
24,Jared Goff,DET,8,25.8,38.5,249.4,1.0,0.8,2.8,1.6,9.5,0.0,15.1,1,PIT,11,18.5,24
25,Geno Smith,SEA,4,16.3,23.8,175.5,1.3,0.3,3.3,2.3,10.5,0.3,14.1,1,GNB,8,18.1,27
26,Cooper Rush,DAL,2,12.0,20.0,162.5,1.0,0.5,1.5,0.5,1.0,0.0,11.1,0,ATL,29,21.4,26
27,Baker Mayfield,CLE,8,18.8,28.1,239.6,1.0,0.4,3.0,2.6,10.0,0.1,16.1,1,NWE,2,16.7,25
28,Jacoby Brissett,MIA,7,18.6,28.9,161.0,0.7,0.6,2.3,2.4,9.1,0.1,10.4,0,BAL,19,21.2,28
29,Trey Lance,SFO,4,6.3,12.0,88.5,0.8,0.3,0.8,6.8,33.3,0.3,11.6,0,LAR,7,18.7,29
30,Blaine Gabbert,TAM,3,1.7,2.0,18.7,0.0,0.0,0.0,2.0,-1.3,0.0,0.6,1,WAS,32,26.8,31
31,Mike White,NYJ,3,21.3,29.3,234.0,1.7,1.3,1.0,1.7,-0.3,0.0,16.3,0,BUF,1,12.6,30
32,Taysom Hill,NOR,6,0.8,1.0,7.5,0.0,0.2,0.0,2.8,13.5,0.5,5.6,1,TEN,25,21.3,32
33,Jordan Love,GNB,3,8.0,13.7,86.0,0.3,0.3,0.7,2.7,6.7,0.0,4.8,0,SEA,14,19.9,33
34,C.J. Beathard,JAX,1,2.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1,IND,28,22.9,34
35,Tyler Huntley,BAL,2,2.5,5.5,19.5,0.0,0.0,0.0,1.5,5.0,0.0,1.3,1,MIA,27,22.1,35
36,John Wolford,LAR,2,0.5,2.0,2.5,0.0,0.5,0.5,1.0,-0.5,0.0,-0.5,1,SFO,29,22.1,39
37,Brian Hoyer,NWE,2,1.5,2.0,39.5,0.0,0.0,0.0,3.0,-3.0,0.0,1.3,0,CLE,24,20.6,37
38,Chad Henne,KAN,1,11.0,16.0,82.0,0.0,0.0,0.0,1.0,4.0,0.0,3.7,1,LVR,8,18.1,38
39,Colt McCoy,ARI,4,5.5,6.5,62.3,0.3,0.0,0.5,3.5,4.3,0.0,3.9,0,CAR,6,17.5,40
40,Zach Wilson,NYJ,6,17.3,30.2,194.7,0.7,1.5,3.2,1.3,3.7,0.0,10.0,0,BUF,1,12.6,36
41,Case Keenum,CLE,4,5.5,9.0,51.3,0.3,0.0,0.3,1.8,1.8,0.0,3.2,1,NWE,2,16.7,41
42,Jacob Eason,SEA,1,2.0,5.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,GNB,8,18.1,42
43,Phillip Walker,CAR,3,1.0,5.0,11.0,0.0,0.0,1.0,0.7,4.0,0.0,0.8,1,ARI,3,16.5,43
44,Gardner Minshew II,PHI,1,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,DEN,3,16.2,44
45,Josh Rosen,ATL,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DAL,26,22.6,45
