,player,team,opp_home,opp,week,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,DK_pt,fmb,team_win,team_score,opp_score
0,Darrel Williams,KAN,1.0,LVR,10,11,43,3.91,0,9,9,101,11.22,1,100.00%,11.22,32.4,0,1.0,41,14
1,Rhamondre Stevenson,NWE,0.0,CLE,10,20,100,5.0,2,5,4,14,3.5,0,80.00%,2.8,30.4,0,1.0,45,7
2,Jonathan Taylor,IND,0.0,JAX,10,21,116,5.52,1,8,6,10,1.67,0,75.00%,1.25,27.6,0,1.0,23,17
3,AJ Dillon,GNB,0.0,SEA,10,21,66,3.14,2,2,2,62,31.0,0,100.00%,31.0,26.8,0,1.0,17,0
4,Christian McCaffrey,CAR,1.0,ARI,10,13,95,7.31,0,10,10,66,6.6,0,100.00%,6.6,26.1,0,1.0,34,10
5,D'Ernest Johnson,CLE,1.0,NWE,10,19,99,5.21,0,8,7,58,8.29,0,87.50%,7.25,22.7,1,0.0,7,45
6,Ezekiel Elliott,DAL,0.0,ATL,10,14,41,2.93,2,3,3,15,5.0,0,100.00%,5.0,21.8,1,1.0,43,3
7,Antonio Gibson,WAS,0.0,TAM,10,24,64,2.67,2,2,2,14,7.0,0,100.00%,7.0,21.8,0,1.0,29,19
8,Dalvin Cook,MIN,1.0,LAC,10,24,94,3.92,1,5,3,24,8.0,0,60.00%,4.8,20.8,0,1.0,27,20
9,Mark Ingram,NOR,1.0,TEN,10,14,47,3.36,1,7,4,61,15.25,0,57.10%,8.71,20.8,0,0.0,21,23
10,Najee Harris,PIT,0.0,DET,10,26,105,4.04,0,4,4,28,7.0,0,100.00%,7.0,20.3,0,,16,16
11,D'Andre Swift,DET,1.0,PIT,10,33,130,3.94,0,6,3,5,1.67,0,50.00%,0.83,19.5,0,,16,16
12,Matt Breida,BUF,1.0,NYJ,10,3,28,9.33,1,3,3,22,7.33,1,100.00%,7.33,19.0,1,1.0,45,17
13,James Robinson,JAX,1.0,IND,10,12,57,4.75,1,5,4,27,6.75,0,80.00%,5.4,18.4,0,0.0,17,23
14,Michael Carter,NYJ,0.0,BUF,10,16,39,2.44,1,6,4,43,10.75,0,66.70%,7.17,18.2,0,0.0,17,45
15,Leonard Fournette,TAM,1.0,WAS,10,11,47,4.27,0,9,8,45,5.63,0,88.90%,5.0,17.2,0,0.0,19,29
16,Tony Pollard,DAL,0.0,ATL,10,11,42,3.82,0,7,6,56,9.33,0,85.70%,8.0,15.8,0,1.0,43,3
17,James Conner,ARI,0.0,CAR,10,10,39,3.9,1,4,3,25,8.33,0,75.00%,6.25,15.4,0,0.0,10,34
18,Austin Ekeler,LAC,0.0,MIN,10,11,44,4.0,0,6,3,15,5.0,1,50.00%,2.5,14.9,0,0.0,20,27
19,Aaron Jones,GNB,0.0,SEA,10,7,25,3.57,0,6,4,61,15.25,0,66.70%,10.17,12.6,0,1.0,17,0
20,Boston Scott,PHI,1.0,DEN,10,11,81,7.36,0,2,2,24,12.0,0,100.00%,12.0,12.5,0,1.0,30,13
21,Devin Singletary,BUF,1.0,NYJ,10,7,43,6.14,1,1,1,6,6.0,0,100.00%,6.0,11.9,1,1.0,45,17
22,Godwin Igwebuike,DET,1.0,PIT,10,2,56,28.0,1,0,0,0,0.0,0,0.00%,0.0,11.6,0,,16,16
23,Melvin Gordon,DEN,0.0,PHI,10,9,45,5.0,1,4,1,-2,-2.0,0,25.00%,-0.5,10.3,1,0.0,13,30
24,Jermar Jefferson,DET,1.0,PIT,10,3,41,13.67,1,0,0,0,0.0,0,0.00%,0.0,10.1,0,,16,16
25,Brandon Bolden,NWE,0.0,CLE,10,3,32,10.67,0,3,3,38,12.67,0,100.00%,12.67,10.0,0,1.0,45,7
26,D'Onta Foreman,TEN,0.0,NOR,10,11,30,2.73,0,2,2,48,24.0,0,100.00%,24.0,9.8,0,1.0,23,21
27,Ameer Abdullah,CAR,1.0,ARI,10,9,24,2.67,0,4,4,27,6.75,0,100.00%,6.75,9.1,0,1.0,34,10
28,Devonta Freeman,BAL,1.0,MIA,10,10,35,3.5,0,4,3,23,7.67,0,75.00%,5.75,8.8,0,0.0,10,22
29,Ty Johnson,NYJ,0.0,BUF,10,2,2,1.0,0,8,5,36,7.2,0,62.50%,4.5,8.8,0,0.0,17,45
30,Chuba Hubbard,CAR,1.0,ARI,10,9,27,3.0,1,0,0,0,0.0,0,0.00%,0.0,8.7,0,1.0,34,10
31,Zack Moss,BUF,1.0,NYJ,10,7,27,3.86,1,0,0,0,0.0,0,0.00%,0.0,8.7,0,1.0,45,17
32,Wayne Gallman,ATL,1.0,DAL,10,15,55,3.67,0,2,1,21,21.0,0,50.00%,10.5,8.6,0,0.0,3,43
