,player,team,games,team_snaps_pct,rec_tgt_avg,rec_avg,rec_yds_avg,rec_td_avg,DK_pt_avg,opp_home,opp,opp_rk,opp_DK_pt_avg,DK_rk
0,Travis Kelce,KAN,9,0.8519,8.8,6.0,69.8,0.6,16.9,1,LVR,27,17.1,1
1,Mark Andrews,BAL,8,0.7211,7.6,5.3,70.0,0.4,15.8,1,MIA,19,14.1,2
2,Rob Gronkowski,TAM,4,0.6069,5.5,4.0,46.0,1.0,14.6,1,WAS,19,14.1,7
3,Dawson Knox,BUF,6,0.777,4.5,3.5,47.7,0.8,14.1,1,NYJ,25,15.5,6
4,Darren Waller,LVR,7,0.8926000000000001,9.1,5.7,67.1,0.3,14.6,0,KAN,29,16.5,3
5,Mike Gesicki,MIA,9,0.7219,7.0,4.9,58.8,0.2,12.7,0,BAL,31,19.2,5
6,Kyle Pitts,ATL,8,0.7421,7.1,4.5,68.3,0.1,12.8,1,DAL,23,14.1,9
7,Dalton Schultz,DAL,8,0.7744,6.1,4.6,53.0,0.4,12.2,0,ATL,17,13.1,10
8,T.J. Hockenson,DET,8,0.8275,8.0,6.0,56.0,0.3,13.4,1,PIT,13,12.0,4
9,George Kittle,SFO,5,0.9242,7.2,5.0,65.6,0.2,13.3,0,LAR,21,14.4,8
10,Noah Fant,DEN,8,0.858,6.6,4.6,40.0,0.4,10.9,0,PHI,32,19.6,11
11,Hunter Henry,NWE,9,0.6957,4.2,3.0,35.1,0.6,9.8,0,CLE,12,11.0,14
12,Dallas Goedert,PHI,8,0.7418,4.6,3.4,50.1,0.3,10.1,1,DEN,1,8.0,13
13,Pat Freiermuth,PIT,8,0.5709000000000001,4.1,3.4,30.6,0.5,9.4,0,DET,11,11.0,15
14,Tyler Conklin,MIN,8,0.7936,5.5,4.0,42.8,0.1,9.0,1,LAC,28,17.1,12
15,Jared Cook,LAC,8,0.5822999999999999,5.3,3.4,38.5,0.3,9.0,0,MIN,4,8.7,17
