,player,team,opp_home,opp,week,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,DK_pt,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
0,Travis Kelce,KAN,1.0,LVR,10,10,8,119,14.88,0,80.00%,11.9,22.9,0,0,0,0,1.0,41,14
1,Hunter Henry,NWE,0.0,CLE,10,4,4,37,9.25,2,100.00%,9.25,19.7,0,0,0,0,1.0,45,7
2,Mark Andrews,BAL,1.0,MIA,10,8,6,63,10.5,1,75.00%,7.88,18.3,0,0,0,0,0.0,10,22
3,Tyler Conklin,MIN,1.0,LAC,10,5,3,11,3.67,2,60.00%,2.2,16.1,0,0,0,0,1.0,27,20
4,Gerald Everett,SEA,1.0,GNB,10,8,8,63,7.88,0,100.00%,7.88,14.3,0,0,0,0,0.0,0,17
5,Dan Arnold,JAX,1.0,IND,10,7,5,67,13.4,0,71.40%,9.57,13.7,0,0,0,0,0.0,17,23
6,Austin Hooper,CLE,1.0,NWE,10,5,4,25,6.25,1,80.00%,5.0,12.5,0,0,0,0,0.0,7,45
7,Noah Fant,DEN,0.0,PHI,10,6,5,59,11.8,0,83.30%,9.83,10.9,0,0,0,0,0.0,13,30
8,Albert Okwuegbunam,DEN,0.0,PHI,10,3,3,77,25.67,0,100.00%,25.67,10.7,0,0,0,0,0.0,13,30
9,Kyle Pitts,ATL,1.0,DAL,10,7,4,60,15.0,0,57.10%,8.57,10.0,0,0,0,0,0.0,3,43
10,Zach Ertz,ARI,0.0,CAR,10,6,4,46,11.5,0,66.70%,7.67,8.6,0,0,0,0,0.0,10,34
11,Adam Trautman,NOR,1.0,TEN,10,6,5,32,6.4,0,83.30%,5.33,8.2,0,0,0,0,0.0,21,23
12,Cameron Brate,TAM,1.0,WAS,10,3,1,6,6.0,1,33.30%,2.0,7.6,0,0,0,0,0.0,19,29
13,MyCole Pruitt,TEN,0.0,NOR,10,1,1,2,2.0,1,100.00%,2.0,7.2,0,0,0,0,1.0,23,21
14,Pat Freiermuth,PIT,0.0,DET,10,9,5,31,6.2,0,55.60%,3.44,7.1,0,0,0,1,,16,16
15,Noah Gray,KAN,1.0,LVR,10,3,1,1,1.0,1,33.30%,0.33,7.1,0,0,0,0,1.0,41,14
16,Geoff Swaim,TEN,0.0,NOR,10,5,4,26,6.5,0,80.00%,5.2,6.6,0,0,0,0,1.0,23,21
