,player,team,games,team_snaps_pct,rec_tgt_avg,rec_avg,rec_yds_avg,rec_td_avg,DK_pt_avg,opp_home,opp,opp_rk,opp_DK_pt_avg,DK_rk
0,Cooper Kupp,LAR,9,0.9181999999999999,11.4,8.2,113.2,1.1,27.8,1,SFO,9,35.0,1
1,Deebo Samuel,SFO,8,0.8481000000000001,10.1,6.1,110.3,0.5,22.4,0,LAR,8,36.5,2
2,Marquise Brown,BAL,8,0.7585,8.6,5.8,85.3,0.8,20.0,1,MIA,28,43.7,4
3,Davante Adams,GNB,8,0.8617,10.9,7.3,98.3,0.4,20.5,0,SEA,12,37.1,3
4,D.K. Metcalf,SEA,8,0.8217,7.0,4.9,72.5,1.0,18.5,1,GNB,6,32.2,9
5,Chris Godwin,TAM,8,0.8931999999999999,8.6,6.3,82.5,0.5,19.3,1,WAS,31,43.8,7
6,Tyreek Hill,KAN,9,0.7824,11.2,7.6,85.8,0.7,21.3,1,LVR,3,28.4,5
7,Mike Evans,TAM,8,0.8523000000000001,7.9,4.9,68.0,1.0,18.4,1,WAS,31,43.8,14
8,Michael Pittman Jr.,IND,9,0.9153,7.9,5.6,73.1,0.6,17.0,0,JAX,22,41.8,8
9,Antonio Brown,TAM,5,0.5324,8.4,5.8,83.6,0.8,20.3,1,WAS,31,43.8,13
10,Mike Williams,LAC,8,0.7523000000000001,8.3,4.6,71.9,0.8,17.3,0,MIN,26,42.6,15
11,D.J. Moore,CAR,9,0.856,9.8,5.9,75.2,0.3,16.4,1,ARI,18,35.5,10
12,Keenan Allen,LAC,8,0.8915000000000001,10.3,7.1,75.0,0.3,17.3,0,MIN,26,42.6,6
13,Diontae Johnson,PIT,7,0.8913,9.9,6.4,75.7,0.4,17.5,0,DET,16,36.1,12
14,Terry McLaurin,WAS,8,0.9340999999999999,9.5,5.4,71.6,0.5,16.8,0,TAM,19,38.2,11
15,CeeDee Lamb,DAL,8,0.8308,8.3,5.1,79.0,0.5,17.4,0,ATL,21,36.4,16
16,Amari Cooper,DAL,8,0.7897,7.6,5.0,66.5,0.6,16.2,0,ATL,21,36.4,20
17,A.J. Brown,TEN,8,0.6922,8.1,5.0,68.9,0.4,14.9,0,NOR,30,42.6,18
18,Tyler Lockett,SEA,8,0.8674,7.3,5.1,72.4,0.4,15.7,1,GNB,6,32.2,17
19,Adam Thielen,MIN,8,0.9591,8.3,5.6,59.6,0.9,17.2,1,LAC,2,26.6,22
20,DeAndre Hopkins,ARI,8,0.8373,6.1,4.4,60.8,0.9,15.7,0,CAR,5,30.6,26
21,Stefon Diggs,BUF,8,0.8,9.1,6.0,73.5,0.4,16.0,1,NYJ,7,32.1,21
22,Justin Jefferson,MIN,8,0.8612000000000001,8.5,5.8,79.0,0.5,17.5,1,LAC,2,26.6,19
23,Marvin Jones,JAX,8,0.9034,7.5,4.5,49.9,0.4,12.1,1,IND,29,43.1,27
